id,token_index,token,ezafe,ambiguous
wiki-1568855-0060,,گردخون، روستایی در حاشیه‌ای کلانشهر شیراز در استان فارس ایران است.,,
wiki-1568855-0060,0,گردخون,,
wiki-1568855-0060,1,،,,
wiki-1568855-0060,2,روستایی,,
wiki-1568855-0060,3,در,,
wiki-1568855-0060,4,حاشیه‌ای,,
wiki-1568855-0060,5,کلانشهر,,
wiki-1568855-0060,6,شیراز,,
wiki-1568855-0060,7,در,,
wiki-1568855-0060,8,استان,,
wiki-1568855-0060,9,فارس,,
wiki-1568855-0060,10,ایران,,
wiki-1568855-0060,11,است,,
wiki-1568855-0060,12,.,,
wiki-2061852-0108,,در جدول رتبه‌بندی توزیع مدال‌ها، لهستان در ردهٔ ۲۰ مسابقات قرار گرفت.,,
wiki-2061852-0108,0,در,,
wiki-2061852-0108,1,جدول,,
wiki-2061852-0108,2,رتبه‌بندی,,
wiki-2061852-0108,3,توزیع,,
wiki-2061852-0108,4,مدال‌ها,,
wiki-2061852-0108,5,،,,
wiki-2061852-0108,6,لهستان,,
wiki-2061852-0108,7,در,,
wiki-2061852-0108,8,ردهٔ,,
wiki-2061852-0108,9,۲۰,,
wiki-2061852-0108,10,مسابقات,,
wiki-2061852-0108,11,قرار,,
wiki-2061852-0108,12,گرفت,,
wiki-2061852-0108,13,.,,
wiki-1577989-0117,,پاتلی (عنبرآباد)، روستایی از توابع بخش مرکزی شهرستان عنبرآباد در استان کرمان ایران است.,,
wiki-1577989-0117,0,پاتلی,,
wiki-1577989-0117,1,(,,
wiki-1577989-0117,2,عنبرآباد,,
wiki-1577989-0117,3,),,
wiki-1577989-0117,4,،,,
wiki-1577989-0117,5,روستایی,,
wiki-1577989-0117,6,از,,
wiki-1577989-0117,7,توابع,,
wiki-1577989-0117,8,بخش,,
wiki-1577989-0117,9,مرکزی,,
wiki-1577989-0117,10,شهرستان,,
wiki-1577989-0117,11,عنبرآباد,,
wiki-1577989-0117,12,در,,
wiki-1577989-0117,13,استان,,
wiki-1577989-0117,14,کرمان,,
wiki-1577989-0117,15,ایران,,
wiki-1577989-0117,16,است,,
wiki-1577989-0117,17,.,,
wiki-6966759-0013,,این اثر از برنز و گرانیت ساخته شده است.,,
wiki-6966759-0013,0,این,,
wiki-6966759-0013,1,اثر,,
wiki-6966759-0013,2,از,,
wiki-6966759-0013,3,برنز,,
wiki-6966759-0013,4,و,,
wiki-6966759-0013,5,گرانیت,,
wiki-6966759-0013,6,ساخته,,
wiki-6966759-0013,7,شده,,
wiki-6966759-0013,8,است,,
wiki-6966759-0013,9,.,,
wiki-4297125-0209,,اونا لارنس (به انگلیسی: Oona Laurence) (زاده ۱ اوت ۲۰۰۲) بازیگر آمریکایی است.,,
wiki-4297125-0209,0,اونا,,
wiki-4297125-0209,1,لارنس,,
wiki-4297125-0209,2,(,,
wiki-4297125-0209,3,به,,
wiki-4297125-0209,4,انگلیسی,,
wiki-4297125-0209,5,:,,
wiki-4297125-0209,6,Oona,,
wiki-4297125-0209,7,Laurence,,
wiki-4297125-0209,8,),,
wiki-4297125-0209,9,(,,
wiki-4297125-0209,10,زاده,,
wiki-4297125-0209,11,۱,,
wiki-4297125-0209,12,اوت,,
wiki-4297125-0209,13,۲۰۰۲,,
wiki-4297125-0209,14,),,
wiki-4297125-0209,15,بازیگر,,
wiki-4297125-0209,16,آمریکایی,,
wiki-4297125-0209,17,است,,
wiki-4297125-0209,18,.,,
wiki-5789693-0041,,راتوتا ۳۸۱ متر بالاتر از سطح دریا واقع شده‌است.,,
wiki-5789693-0041,0,راتوتا,,
wiki-5789693-0041,1,۳۸۱,,
wiki-5789693-0041,2,متر,,
wiki-5789693-0041,3,بالاتر,,
wiki-5789693-0041,4,از,,
wiki-5789693-0041,5,سطح,,
wiki-5789693-0041,6,دریا,,
wiki-5789693-0041,7,واقع,,
wiki-5789693-0041,8,شده‌است,,
wiki-5789693-0041,9,.,,
wiki-5235150-0197,,سوریه ادعا کرد که یک هواپیمای بدون سرنشین را سرنگون کرده‌است.,,
wiki-5235150-0197,0,سوریه,,
wiki-5235150-0197,1,ادعا,,
wiki-5235150-0197,2,کرد,,
wiki-5235150-0197,3,که,,
wiki-5235150-0197,4,یک,,
wiki-5235150-0197,5,هواپیمای,,
wiki-5235150-0197,6,بدون,,
wiki-5235150-0197,7,سرنشین,,
wiki-5235150-0197,8,را,,
wiki-5235150-0197,9,سرنگون,,
wiki-5235150-0197,10,کرده‌است,,
wiki-5235150-0197,11,.,,
wiki-2686288-0081,,«نبرد سینت‌ها ۲» در پلت‌فرم‌های اکس‌باکس ۳۶۰، پلی‌استیشن ۳، و مایکروسافت ویندوز منتشر شده‌است.,,
wiki-2686288-0081,0,«,,
wiki-2686288-0081,1,نبرد,,
wiki-2686288-0081,2,سینت‌ها,,
wiki-2686288-0081,3,۲,,
wiki-2686288-0081,4,»,,
wiki-2686288-0081,5,در,,
wiki-2686288-0081,6,پلت‌فرم‌های,,
wiki-2686288-0081,7,اکس‌باکس,,
wiki-2686288-0081,8,۳۶۰,,
wiki-2686288-0081,9,،,,
wiki-2686288-0081,10,پلی‌استیشن,,
wiki-2686288-0081,11,۳,,
wiki-2686288-0081,12,،,,
wiki-2686288-0081,13,و,,
wiki-2686288-0081,14,مایکروسافت,,
wiki-2686288-0081,15,ویندوز,,
wiki-2686288-0081,16,منتشر,,
wiki-2686288-0081,17,شده‌است,,
wiki-2686288-0081,18,.,,
wiki-494876-0082,,او بازیگری را از سه سالگی شروع کرد.,,
wiki-494876-0082,0,او,,
wiki-494876-0082,1,بازیگری,,
wiki-494876-0082,2,را,,
wiki-494876-0082,3,از,,
wiki-494876-0082,4,سه,,
wiki-494876-0082,5,سالگی,,
wiki-494876-0082,6,شروع,,
wiki-494876-0082,7,کرد,,
wiki-494876-0082,8,.,,
wiki-4270300-0039,,حزب آشکارا خود را به عنوان ابتکار ملی معرفی کرد.,,
wiki-4270300-0039,0,حزب,,
wiki-4270300-0039,1,آشکارا,,
wiki-4270300-0039,2,خود,,
wiki-4270300-0039,3,را,,
wiki-4270300-0039,4,به,,
wiki-4270300-0039,5,عنوان,,
wiki-4270300-0039,6,ابتکار,,
wiki-4270300-0039,7,ملی,,
wiki-4270300-0039,8,معرفی,,
wiki-4270300-0039,9,کرد,,
wiki-4270300-0039,10,.,,
wiki-5953189-0076,,خوزه فرن (انگلیسی: José Fran؛ زادهٔ ۱ ژوئن ۱۹۹۲) بازیکن فوتبال اهل اسپانیا است.,,
wiki-5953189-0076,0,خوزه,,
wiki-5953189-0076,1,فرن,,
wiki-5953189-0076,2,(,,
wiki-5953189-0076,3,انگلیسی,,
wiki-5953189-0076,4,:,,
wiki-5953189-0076,5,José,,
wiki-5953189-0076,6,Fran,,
wiki-5953189-0076,7,؛,,
wiki-5953189-0076,8,زادهٔ,,
wiki-5953189-0076,9,۱,,
wiki-5953189-0076,10,ژوئن,,
wiki-5953189-0076,11,۱۹۹۲,,
wiki-5953189-0076,12,),,
wiki-5953189-0076,13,بازیکن,,
wiki-5953189-0076,14,فوتبال,,
wiki-5953189-0076,15,اهل,,
wiki-5953189-0076,16,اسپانیا,,
wiki-5953189-0076,17,است,,
wiki-5953189-0076,18,.,,
wiki-6377909-0021,,تقریباً ۲۰۰۰۰ دانش آموز هر ساله در کلاس‌های دانشگاهی یا آنلاین شرکت می‌کنند.,,
wiki-6377909-0021,0,تقریباً,,
wiki-6377909-0021,1,۲۰۰۰۰,,
wiki-6377909-0021,2,دانش,,
wiki-6377909-0021,3,آموز,,
wiki-6377909-0021,4,هر,,
wiki-6377909-0021,5,ساله,,
wiki-6377909-0021,6,در,,
wiki-6377909-0021,7,کلاس‌های,,
wiki-6377909-0021,8,دانشگاهی,,
wiki-6377909-0021,9,یا,,
wiki-6377909-0021,10,آنلاین,,
wiki-6377909-0021,11,شرکت,,
wiki-6377909-0021,12,می‌کنند,,
wiki-6377909-0021,13,.,,
wiki-2509010-0004,,الیویه مارتینز (به فرانسوی: Olivier Martinez) (زاده ۱۲ ژانویه ۱۹۶۶) بازیگر فرانسوی است.,,
wiki-2509010-0004,0,الیویه,,
wiki-2509010-0004,1,مارتینز,,
wiki-2509010-0004,2,(,,
wiki-2509010-0004,3,به,,
wiki-2509010-0004,4,فرانسوی,,
wiki-2509010-0004,5,:,,
wiki-2509010-0004,6,Olivier,,
wiki-2509010-0004,7,Martinez,,
wiki-2509010-0004,8,),,
wiki-2509010-0004,9,(,,
wiki-2509010-0004,10,زاده,,
wiki-2509010-0004,11,۱۲,,
wiki-2509010-0004,12,ژانویه,,
wiki-2509010-0004,13,۱۹۶۶,,
wiki-2509010-0004,14,),,
wiki-2509010-0004,15,بازیگر,,
wiki-2509010-0004,16,فرانسوی,,
wiki-2509010-0004,17,است,,
wiki-2509010-0004,18,.,,
wiki-6961286-0087,,آنها همچنین می‌توانند در سطح بالایی/رویی تارهای صوتی تشکیل شوند.,,
wiki-6961286-0087,0,آنها,,
wiki-6961286-0087,1,همچنین,,
wiki-6961286-0087,2,می‌توانند,,
wiki-6961286-0087,3,در,,
wiki-6961286-0087,4,سطح,,
wiki-6961286-0087,5,بالایی/رویی,,
wiki-6961286-0087,6,تارهای,,
wiki-6961286-0087,7,صوتی,,
wiki-6961286-0087,8,تشکیل,,
wiki-6961286-0087,9,شوند,,
wiki-6961286-0087,10,.,,
wiki-140283-0001,,بیشتر ترانه‌های او به زبان گیلکی و برخی نیز به زبان فارسی بود.,,
wiki-140283-0001,0,بیشتر,,
wiki-140283-0001,1,ترانه‌های,,
wiki-140283-0001,2,او,,
wiki-140283-0001,3,به,,
wiki-140283-0001,4,زبان,,
wiki-140283-0001,5,گیلکی,,
wiki-140283-0001,6,و,,
wiki-140283-0001,7,برخی,,
wiki-140283-0001,8,نیز,,
wiki-140283-0001,9,به,,
wiki-140283-0001,10,زبان,,
wiki-140283-0001,11,فارسی,,
wiki-140283-0001,12,بود,,
wiki-140283-0001,13,.,,
wiki-2795448-0074,,نمونه‌ای از واکنش انتقال لایه اوربیتالی پر شده واکنش کرومیل کلرید است.,,
wiki-2795448-0074,0,نمونه‌ای,,
wiki-2795448-0074,1,از,,
wiki-2795448-0074,2,واکنش,,
wiki-2795448-0074,3,انتقال,,
wiki-2795448-0074,4,لایه,,
wiki-2795448-0074,5,اوربیتالی,,
wiki-2795448-0074,6,پر,,
wiki-2795448-0074,7,شده,,
wiki-2795448-0074,8,واکنش,,
wiki-2795448-0074,9,کرومیل,,
wiki-2795448-0074,10,کلرید,,
wiki-2795448-0074,11,است,,
wiki-2795448-0074,12,.,,
wiki-6961286-0086,,آنها به صورت یک‌سویه در نقطهٔ میانی لبهٔ داخلی تارهای صوتی ایجاد می‌شوند.,,
wiki-6961286-0086,0,آنها,,
wiki-6961286-0086,1,به,,
wiki-6961286-0086,2,صورت,,
wiki-6961286-0086,3,یک‌سویه,,
wiki-6961286-0086,4,در,,
wiki-6961286-0086,5,نقطهٔ,,
wiki-6961286-0086,6,میانی,,
wiki-6961286-0086,7,لبهٔ,,
wiki-6961286-0086,8,داخلی,,
wiki-6961286-0086,9,تارهای,,
wiki-6961286-0086,10,صوتی,,
wiki-6961286-0086,11,ایجاد,,
wiki-6961286-0086,12,می‌شوند,,
wiki-6961286-0086,13,.,,
wiki-1543666-0167,,یوسف‌آباد ، روستایی از توابع بخش رانکوه شهرستان املش در استان گیلان ایران است.,,
wiki-1543666-0167,0,یوسف‌آباد,,
wiki-1543666-0167,1,،,,
wiki-1543666-0167,2,روستایی,,
wiki-1543666-0167,3,از,,
wiki-1543666-0167,4,توابع,,
wiki-1543666-0167,5,بخش,,
wiki-1543666-0167,6,رانکوه,,
wiki-1543666-0167,7,شهرستان,,
wiki-1543666-0167,8,املش,,
wiki-1543666-0167,9,در,,
wiki-1543666-0167,10,استان,,
wiki-1543666-0167,11,گیلان,,
wiki-1543666-0167,12,ایران,,
wiki-1543666-0167,13,است,,
wiki-1543666-0167,14,.,,
wiki-5672705-0107,,این قانون چنین بیان می‌شود.,,
wiki-5672705-0107,0,این,,
wiki-5672705-0107,1,قانون,,
wiki-5672705-0107,2,چنین,,
wiki-5672705-0107,3,بیان,,
wiki-5672705-0107,4,می‌شود,,
wiki-5672705-0107,5,.,,
wiki-5961081-0095,,براندون گودیشیپ (انگلیسی: Brandon Goodship؛ زادهٔ ۲۲ سپتامبر ۱۹۹۴) بازیکن فوتبال اهل بریتانیا است.,,
wiki-5961081-0095,0,براندون,,
wiki-5961081-0095,1,گودیشیپ,,
wiki-5961081-0095,2,(,,
wiki-5961081-0095,3,انگلیسی,,
wiki-5961081-0095,4,:,,
wiki-5961081-0095,5,Brandon,,
wiki-5961081-0095,6,Goodship,,
wiki-5961081-0095,7,؛,,
wiki-5961081-0095,8,زادهٔ,,
wiki-5961081-0095,9,۲۲,,
wiki-5961081-0095,10,سپتامبر,,
